Ring;Nimi;Aeg:;Sektor;Sektor1;Sektor2;Viga
1;Evelin;74.995;25.082;24.502;25.411;False
2;Evelin;77.23599999999999;26.566;25.901;24.769;False
3;Evelin;75.02600000000001;25.384;25.257;24.385;False
4;Evelin;73.323;24.822;25.194;23.307;False
5;Evelin;76.678;25.727;25.258;25.693;False
6;Evelin;74.88300000000001;25.327;23.787;25.769;False
7;Evelin;74.216;24.489;24.525;25.202;False
8;Evelin;72.551;23.619;23.402;25.53;False
9;Evelin;77.458;25.51;25.011;26.937;False
10;Evelin;74.06400000000001;24.92;25.95;23.194;False
1;Karl;79.28099999999999;26.615;26.679;25.987;False
2;Karl;76.9;23.641;26.668;26.591;False
3;Karl;74.724;24.335;26.436;23.953;False
4;Karl;73.292;24.553;23.357;25.382;False
5;Karl;76.888;24.459;26.88;25.549;False
6;Karl;74.63499999999999;25.671;23.51;25.454;False
7;Karl;76.93199999999999;26.052;26.602;24.278;False
8;Karl;73.341;23.493;25.375;24.473;False
9;Karl;74.964;25.826999999999998;24.986;24.151;False
10;Karl;72.191;24.041;24.807;23.343;False
1;Kreete;72.129;25.897;23.148;23.084;False
2;Kreete;74.285;24.435;23.854;25.996;False
3;Kreete;76.072;25.989;24.642;25.441;False
4;Kreete;75.356;24.265;24.844;26.247;False
5;Kreete;73.86099999999999;24.996;25.22;23.645;False
6;Kreete;181.281;48.411;53.68;79.19;True
7;Kreete;73.55199999999999;25.583;24.039;23.93;False
8;Kreete;73.61;23.384;23.239;26.987;False
9;Kreete;73.042;23.786;25.064;24.192;False
10;Kreete;74.059;23.662;24.002;26.395;False
1;Lewis;151.111;51.769;52.298;47.044;True
2;Lewis;73.43799999999999;23.891;24.432;25.115;False
3;Lewis;236.164;80.436;85.461;70.267;True
4;Lewis;76.803;26.157;24.005;26.641;False
5;Lewis;77.193;26.04;24.404;26.749;False
6;Lewis;73.88000000000001;23.352;26.89;23.638;False
7;Lewis;74.182;24.416;23.35;26.416;False
8;Lewis;77.18;26.782;26.785;23.613;False
9;Lewis;73.74199999999999;23.004;24.472;26.266;False
10;Lewis;78.795;26.804;25.386;26.605;False
1;David;231.304;58.987;85.983;86.334;True
2;David;75.48700000000001;25.463;25.821;24.203;False
3;David;71.75;23.294;24.446;24.01;False
4;David;75.007;23.347;25.056;26.604;False
5;David;75.392;26.547;24.101;24.744;False
6;David;76.28699999999999;26.409;26.138;23.74;False
7;David;75.045;24.896;26.011;24.138;False
8;David;161.201;47.875;68.185;45.141;True
9;David;77.949;26.584;26.182;25.183;False
10;David;74.41499999999999;23.904;26.104;24.407;False
